Date : 2023-04-08 09:11:45
Directory : /Users/bytedance/Downloads/music-master
Total : 138 files,  44377 codes, 64 comments, 3117 blanks, all 47558 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/bytedance/Downloads/music-master/public/theme/element/divider.css           | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/drawer.css            | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/dropdown-item.css     | CSS        |          0 |          0 |          1 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/dropdown-menu.css     | CSS        |          0 |          0 |          1 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/dropdown.css          | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/empty.css             | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/footer.css            | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/form-item.css         | CSS        |          0 |          0 |          1 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/form.css              | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/header.css            | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/icon.css              | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/image.css             | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/index.css             | CSS        |     13,367 |          0 |      2,880 |     16,247 |
| /Users/bytedance/Downloads/music-master/public/theme/element/infinite-scroll.css   | CSS        |          0 |          0 |          1 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/infiniteScroll.css    | CSS        |          0 |          0 |          1 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/input-number.css      | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/input.css             | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/link.css              | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/loading.css           | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/main.css              | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/menu-item-group.css   | CSS        |          0 |          0 |          1 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/menu-item.css         | CSS        |          0 |          0 |          1 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/menu.css              | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/message-box.css       | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/message.css           | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/notification.css      | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/option-group.css      | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/option.css            | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/page-header.css       | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/pagination.css        | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/popconfirm.css        | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/popover.css           | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/popper.css            | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/progress.css          | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/radio-button.css      | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/radio-group.css       | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/radio.css             | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/rate.css              | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/reset.css             | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/result.css            | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/row.css               | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/scrollbar.css         | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/select-dropdown.css   | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/select.css            | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/skeleton-item.css     | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/skeleton.css          | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/slider.css            | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/spinner.css           | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/step.css              | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/steps.css             | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/submenu.css           | CSS        |          0 |          0 |          1 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/switch.css            | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/tab-pane.css          | CSS        |          0 |          0 |          1 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/table-column.css      | CSS        |          1 |          0 |          0 |          1 |
| /Users/bytedance/Downloads/music-master/public/theme/element/table.css             | CSS        |          1 |          0 |          0 |          1 |
